num,freq,baud,location,time,demod,demodrate,inforate,isdiff,isDAOPU,isTDMA,codeType,frameLen,poly,transport
2955,11944.53052,173.791,04N2K1,2016/2/2 12:32,BPSK,178.661,0,N,N,unknow,unknow,NA,unknow,unknow
2956,12102.3291,412.354,04N2K1,2016/1/21 16:28,QPSK,436.146,640000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2958,12120.49316,769.706,04N2K1,2016/1/7 11:01,QPSK,858.326,1287000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2959,12127.43457,194.479,04N2K1,2016/1/5 6:34,QPSK,217.081,320000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2960,12029.58862,76.215,04N2K1,2016/1/6 22:18,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2961,19561.70313,155.41,04B6K2,2016/1/9 20:20,QPSK,160.001,240000,N,N,unknow,TPC,NA,G18,unknow
2962,19508.09961,40.08,04B6K2,2016/1/6 8:59,8PSK,29.043,0,N,N,unknow,unknow,NA,unknow,unknow
2963,20630.88965,47.603,04B6K2,2016/1/6 12:47,BPSK,16,8000,N,N,unknow,NSC,NA,V35,unknow
2964,20745.48242,222.772,04B6K2,2016/1/9 20:36,8PSK,227.553,0,N,N,unknow,unknow,NA,unknow,unknow
2965,19521.4052,74.03,04B6K2,2016/1/9 20:36,unknow,0,0,unknow,unknow,Y,unknow,NA,unknow,unknow
2966,20550.40234,254.59,04B6K2,2016/1/6 8:14,QPSK,264.533,396000,N,N,unknow,TPC,NA,IBS,unknow
2967,20628.25195,192.608,04B6K2,2016/1/7 0:25,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2968,20628.10742,163.131,04B6K2,2016/1/9 18:55,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2969,20612.25195,380.51,04B6K2,2016/1/9 19:19,unknow,0,NA,unknow,unknow,Y,unknow,NA,unknow,unknow
2970,20603.88379,13855.519,04B6K2,2016/1/8 13:10,QPSK,537.594,768000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2972,11786.25122,266.661,04N2K1,2016/2/2 4:40,8PSK,287.222,0,N,N,unknow,unknow,NA,unknow,unknow
2973,11787.67212,328.36,04N2K1,2016/2/2 10:43,QPSK,345.33,518000,N,N,unknow,TPC,NA,"12,9,3,2,0",unknow
2974,11793.89429,197.554,04N2K1,2016/1/31 7:08,QPSK,217.081,320000,N,N,unknow,TPC,NA,V35,unknow
2975,12110.02734,141.057,04N2K1,2016/2/2 10:46,8PSK,145.382,0,N,N,unknow,unknow,NA,unknow,unknow
2976,20572.78809,295.51,04B6K2,2016/1/9 15:39,QPSK,322.735,0,N,N,unknow,unknow,NA,unknow,unknow
2977,20663.66699,3247.794,04B6K2,2016/1/8 14:33,8PSK,5575.45,0,N,N,unknow,unknow,NA,unknow,unknow
2978,19453.30078,25.704,04B6K2,2016/1/2 9:37,QPSK,32.379,0,N,N,unknow,unknow,NA,unknow,unknow
2979,11882.75293,141.181,04N2K1,2016/2/2 12:32,8PSK,145.067,0,N,N,unknow,unknow,NA,unknow,unknow
2980,20631.64746,151.876,04B6K2,2016/1/6 12:04,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2981,20629.00586,106.496,04B6K2,2016/1/9 15:44,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
2982,20582.60254,223.285,04B6K2,2016/1/8 0:57,unknow,-1,NA,unknow,unknow,unknow,unknow,NA,unknow,unknow
